,No. of reoccurance among SlotID,uni_domain
303,2,ums.adtech.de
304,2,x.fidelity-media.com
305,3,t.powerreviews.com
306,1,tags.veinteractive.com
307,2,api-public.addthis.com
308,3,m.addthisedge.com
309,3,sealserver.trustkeeper.net
310,2,images.mcafeesecure.com
311,3,sb.monetate.net
312,4,sits-pod21.demandware.net
313,2,ssec.uggaustralia.com
314,3,www.paypalobjects.com
315,11,pixel.quantserve.com
316,2,sonar.sociomantic.com
317,1,www.teva-eu.com
318,3,s3.amazonaws.com
319,1,sec.teva.com
320,1,images.scanalert.com
321,1,ssec.teva.com
322,1,swa.vodafone.cz
323,4,www.clw.ford.com
324,1,incentives.ford.com
325,3,cts.w55c.net
326,5,a248.e.akamai.net
327,3,s.ev.ads.pointroll.com
328,1,careers.vodafone.co.uk
329,2,assets.vodafone.co.uk
330,1,metrics.vodafone.co.uk
331,1,vodafone.taleo.net
332,1,www.c-and-a.com
333,14,assets.adobedtm.com
334,1,cdn.scarabresearch.com
335,1,cdn.exactag.com
336,1,m.exactag.com
337,1,cdn.contentspread.net
338,1,www.google.de
339,1,toolbox.contentspread.net
340,1,cunda.122.2o7.net
341,1,d31bfnnwekbny6.cloudfront.net
342,1,static.criteo.net
343,1,20587675p.rfihub.com
344,1,t13.intelliad.de
345,1,ad.vi-tag.net
346,1,ad.ad-srv.net
347,1,t23.intelliad.de
348,1,ads.heias.com
349,1,hfp.gdmdigital.com
350,1,cdn.254a.com
351,1,rainbow-de.mythings.com
352,1,widget.criteo.com
353,1,dis.eu.criteo.com
354,1,n.254a.com
355,1,r.254a.com
356,1,cookieb.mythings.com
357,1,x.bidswitch.net
358,1,cookiem-geo-p.mythings.com
359,1,eu-u.openx.net
360,1,uk-ox-d.openxadexchange.com
361,1,u.openx.net
362,1,recommender.scarabresearch.com
363,1,ssl.xplosion.de
364,1,20587687p.rfihub.com
365,1,xups.xplosion.de
366,21,view.atdmt.com
367,1,ap.lijit.com
368,1,r.openx.net
369,1,dis.criteo.com
370,1,soma.smaato.net
371,2,maps.googleapis.com
372,2,maps.gstatic.com
373,2,simage2.pubmatic.com
374,1,admention.adspirit.de
375,1,app.mashero.com
376,1,uidbox.uimserv.net
377,1,sslwidget.criteo.com
378,1,fp.gdmdigital.com
379,1,d2hlpp31teaww3.cloudfront.net
380,4,dsum-sec.casalemedia.com
381,1,secserv.adtech.de
382,1,d.254a.com
383,1,rainbowx.mythings.com
384,1,ads.betweendigital.com
385,1,20587679p.rfihub.com
386,1,rtb.adeasy.ru
387,1,stags.bluekai.com
388,2,dsum.casalemedia.com
389,1,adserver.adtech.de
390,1,livegoroutereastasia.cloudapp.net
391,1,livegoroutereastus.cloudapp.net
392,1,livegorouterwesteurope.cloudapp.net
393,1,online.vodafone.co.uk
394,1,shop.vodafone.co.uk
395,1,res.levexis.com
396,1,pfa.levexis.com
397,1,vodafonegroupukdev.112.2o7.net
398,1,www.potterybarnkids.com
399,1,rk.pkimgs.com
400,2,potterybarn.tt.omtrdc.net
401,1,secure.potterybarnkids.com
402,2,match.collectandgather.com
403,2,lookup.collectandgather.com
404,2,login.dotomi.com
405,2,cache.dtmpub.com
406,2,static.tellaparts.com
